filename,mean_speedKMH
2021-03-12-11,12
2021-03-12-12,12
2021-03-12-13,12
2021-03-12-14,13
2021-03-12-15,16
2021-03-12-16,12
2021-03-12-17,17
2021-03-12-18,14
2021-03-12-19,12
2021-03-12-20,12
2021-03-12-21,13
2021-03-12-22,12
2021-03-12-23,20
2021-03-13-0,17
2021-03-13-1,13
2021-03-13-2,16
2021-03-13-3,14
2021-03-13-4,12
2021-03-13-5,12
2021-03-13-6,52
2021-03-13-7,20
2021-03-13-8,15
2021-03-13-9,14
2021-03-13-10,12
2021-03-13-11,11
2021-03-13-12,13
2021-03-13-13,13
2021-03-13-14,12
2021-03-13-15,12
2021-03-13-16,12
2021-03-13-17,12
2021-03-13-18,11
2021-03-13-19,12
2021-03-13-20,12
2021-03-13-21,11
2021-03-13-22,13
2021-03-13-23,12
2021-03-14-0,15
2021-03-14-1,12
2021-03-14-2,48
2021-03-14-3,39
2021-03-14-4,11
2021-03-14-5,17
2021-03-14-6,15
2021-03-14-7,12
2021-03-14-8,13
2021-03-14-9,12
2021-03-14-10,11
2021-03-14-11,12
2021-03-14-12,13
2021-03-14-13,12
2021-03-14-14,12
2021-03-14-15,14
2021-03-14-16,15
2021-03-14-17,12
2021-03-14-18,13
2021-03-14-19,21
2021-03-14-20,30
2021-03-14-21,14
2021-03-14-22,11
2021-03-14-23,14
2021-03-15-0,6
2021-03-15-1,17
2021-03-15-2,20
2021-03-15-3,33
2021-03-15-4,13
2021-03-15-5,31
2021-03-15-6,38
2021-03-15-7,15
2021-03-15-8,14
2021-03-15-9,12
2021-03-15-10,16
2021-03-15-11,11
